A, Index, Time
749, 749, 36
750, 750, 34
751, 751, 34
752, 752, 34
753, 753, 190
754, 754, 34
755, 755, 34
756, 756, 34
757, 757, 36
758, 758, 34
759, 759, 34
760, 760, 34
761, 761, 190
762, 762, 34
763, 763, 34
764, 764, 34
765, 765, 36
766, 766, 34
767, 767, 34
768, 768, 34
769, 769, 193
770, 770, 34
771, 771, 34
772, 772, 34
773, 773, 36
774, 774, 34
775, 775, 34
776, 776, 34
777, 777, 193
778, 778, 34
779, 779, 34
780, 780, 34
781, 781, 36
782, 782, 34
783, 783, 34
784, 784, 34
785, 785, 193
786, 786, 34
787, 787, 34
788, 788, 34
789, 789, 36
790, 790, 34
791, 791, 34
792, 792, 34
793, 793, 193
794, 794, 34
795, 795, 34
796, 796, 34
797, 797, 36
798, 798, 34
799, 799, 34
800, 800, 34
801, 801, 193
802, 802, 34
803, 803, 34
804, 804, 34
805, 805, 36
806, 806, 34
807, 807, 34
808, 808, 34
809, 809, 194
810, 810, 34
811, 811, 34
812, 812, 34
813, 813, 36
814, 814, 34
815, 815, 34
816, 816, 34
817, 817, 193
818, 818, 34
819, 819, 34
820, 820, 34
821, 821, 36
822, 822, 34
823, 823, 34
824, 824, 34
825, 825, 193
826, 826, 34
827, 827, 34
828, 828, 34
829, 829, 36
830, 830, 34
831, 831, 34
832, 832, 34
833, 833, 187
834, 834, 34
835, 835, 34
836, 836, 34
837, 837, 36
838, 838, 34
839, 839, 34
840, 840, 34
841, 841, 187
842, 842, 34
843, 843, 34
844, 844, 34
845, 845, 36
846, 846, 34
847, 847, 34
848, 848, 34
849, 849, 188
850, 850, 34
851, 851, 34
852, 852, 34
853, 853, 36
854, 854, 34
855, 855, 34
856, 856, 34
857, 857, 188
858, 858, 34
859, 859, 34
860, 860, 34
861, 861, 36
862, 862, 34
863, 863, 34
864, 864, 34
865, 865, 187
866, 866, 34
867, 867, 34
868, 868, 34
869, 869, 36
870, 870, 34
871, 871, 34
872, 872, 34
873, 873, 188
874, 874, 34
875, 875, 34
876, 876, 34
877, 877, 36
878, 878, 34
879, 879, 34
880, 880, 34
881, 881, 188
882, 882, 34
883, 883, 34
884, 884, 34
885, 885, 36
886, 886, 34
887, 887, 34
888, 888, 34
889, 889, 187
890, 890, 34
891, 891, 34
892, 892, 34
893, 893, 36
894, 894, 34
895, 895, 34
896, 896, 34
897, 897, 193
898, 898, 34
899, 899, 34
900, 900, 34
901, 901, 36
902, 902, 34
903, 903, 34
904, 904, 34
905, 905, 195
906, 906, 34
907, 907, 34
908, 908, 34
909, 909, 36
910, 910, 34
911, 911, 34
912, 912, 34
913, 913, 193
914, 914, 34
915, 915, 34
916, 916, 34
917, 917, 36
918, 918, 34
919, 919, 34
920, 920, 34
921, 921, 194
922, 922, 34
923, 923, 34
924, 924, 34
925, 925, 36
926, 926, 34
927, 927, 34
928, 928, 34
929, 929, 193
930, 930, 34
931, 931, 34
932, 932, 34
933, 933, 36
934, 934, 34
935, 935, 34
936, 936, 34
937, 937, 194
938, 938, 34
939, 939, 34
940, 940, 34
941, 941, 36
942, 942, 34
943, 943, 34
944, 944, 34
945, 945, 195
946, 946, 34
947, 947, 34
948, 948, 34
949, 949, 36
950, 950, 34
951, 951, 34
952, 952, 34
953, 953, 195
954, 954, 34
955, 955, 34
956, 956, 34
957, 957, 36
958, 958, 34
959, 959, 34
960, 960, 34
961, 961, 188
962, 962, 34
963, 963, 34
964, 964, 34
965, 965, 36
966, 966, 34
967, 967, 34
968, 968, 34
969, 969, 187
970, 970, 34
971, 971, 34
972, 972, 34
973, 973, 36
974, 974, 34
975, 975, 34
976, 976, 34
977, 977, 188
978, 978, 34
979, 979, 34
980, 980, 34
981, 981, 36
982, 982, 34
983, 983, 34
984, 984, 34
985, 985, 188
986, 986, 34
987, 987, 34
988, 988, 34
989, 989, 36
990, 990, 34
991, 991, 34
992, 992, 34
993, 993, 189
994, 994, 34
995, 995, 34
996, 996, 34
997, 997, 36
998, 998, 34
999, 999, 34
1000, 1000, 34
1001, 1001, 188
1002, 1002, 34
1003, 1003, 34
1004, 1004, 34
1005, 1005, 36
1006, 1006, 34
1007, 1007, 34
1008, 1008, 34
1009, 1009, 188
1010, 1010, 34
1011, 1011, 34
1012, 1012, 34
1013, 1013, 36
1014, 1014, 34
1015, 1015, 34
1016, 1016, 34
1017, 1017, 188
1018, 1018, 34
1019, 1019, 34
1020, 1020, 34
1021, 1021, 36
1022, 1022, 34
1023, 1023, 34
1024, 1024, 34
1025, 1025, 194
1026, 1026, 34
1027, 1027, 34
1028, 1028, 34
1029, 1029, 36
1030, 1030, 34
